english,bsk_nastaliq,transliteration,urdu,pos,category,source,notes
body,یدیم,idim,جسم,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration; description: 1st singular m.
head,جاتیس,jatis,سر,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
hair,گوجانگ,gujang,بال,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
face,یسکیل,iskil,چہرہ,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
eye,یلتشین,iltshin,آنکھ,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
ear,یلتومال,iltumal,کان,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
nose,یموپوش,imupush,ناک,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
mouth,اخات,akhat,منہ,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
tooth,یمے,ime,دانت,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
tongue,جووموس,juumus,زبان,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
chest,یندیل,indil,سینہ,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
belly,جوول,juul,پیٹ,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
arm,یشاک,ishak,بازو,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
elbow,یسوسون,isusun,کہنی,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
palm of hand,یتاتاس,itatas,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
finger,ےمیش,emish,انگلی,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
fingernail,جووری,juuri,ناخن,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
leg,باتسین,batsin,ٹانگ,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
skin,بات,bat,جلد,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
bone,تین,tin,ہڈی,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
blood,مولتان,multan,خون,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
urine,ہاراش,harash,پیشاب,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
feces,غوراش,ghurash,فضلہ,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
village,گا,gaũ,گاؤں,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
house,ہا,ha,گھر,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
roof,تےش,tesh,چھت,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
door,ہینگ,hing,دروازہ,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
firewood,گاشیل,gashil,لکڑی,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
